Başlık,Yayınevi,Yazar,İndirimli Fiyat (TL),İndirimsiz Fiyat (TL),İndirim Oranı (%),Puanlama (5 üzerinden)
Sonsuz Mutluluklar,Yabancı Yayınları,Vi Keeland,180.00,300.00,40,5.0
Maça Kızı 8 - 3. Kitap,Artemis Yayınları,Dilara Pamuk,245.70,378.00,35,5.0
Kalbe Saplanan Ok 1,Ephesus Yayınları,Ebru Işık,252.85,389.00,35,5.0
Yaz Uykusu,Athica Yayınları,Zeynep Sey,299.00,460.00,35,5.0
Pandora`nın Kalbi 2 - Ciltli Hediyeli Özel Kutu,Ephesus Yayınları,Dilara Keskin,337.35,519.00,35,5.0
Maça Kızı 8 - 2. Kitap,Artemis Yayınları,Dilara Pamuk,258.70,398.00,35,5.0
İhtilal 1 - Zelzele,Dokuz Yayınları,Binnur Şafak Nigiz,210.00,350.00,40,5.0
İrade Terbiyesi,Ketebe Yayınları,Ethem Bakar,113.40,189.00,40,4.5
Kaybolmuş Ruhlar Sarayı 1: Kraliçenin Kızı,Ephesus Yayınları,Dilara Keskin,252.85,389.00,35,Yok
Yaralasar 4,Ephesus Yayınları,Maral Atmaca,259.35,399.00,35,5.0
Sokak Nöbetçileri,İndigo Kitap,Aslı Arslan,263.40,439.00,40,Yok
Ölüler Konuşamaz,Ephesus Yayınları,Dilara Keskin,252.85,389.00,35,Yok
Karantina: Dördüncü Perde,İndigo Kitap,Beyza Alkoç,197.40,329.00,40,Yok
Nasıl Ölünür,Can Yayınları,Emile Zola,54.00,90.00,40,Yok
Fahrenheit 451,İthaki Yayınları,Ray Bradbury,120.00,200.00,40,Yok
Robin Hood - Kısaltılmış Metin,İş Bankası Kültür Yayınları,Howard Pyle,26.40,44.00,40,Yok
Kumarbaz,İş Bankası Kültür Yayınları,Fyodor Mihayloviç Dostoyevski,44.40,74.00,40,Yok
GENÇ BİR DOKTORUN ANILARI,İş Bankası Kültür Yayınları,Mihail Afanasyeviç Bulgakov,43.20,72.00,40,Yok
Othello,İş Bankası Kültür Yayınları,William Shakespeare,38.40,64.00,40,Yok
Flört,Nox Yayınları,Adriana Locke,160.00,320.00,50,5.0
Berserk 1,Athica Yayınları,Kentaro Miura,136.50,210.00,35,Yok
Aile İçi Cinayet,Olimpos Yayınları,Cara Hunter,202.95,369.00,45,5.0
Medusa`nın Ölü Kumları 1,Ephesus Yayınları,Maral Atmaca,259.35,399.00,35,5.0
Hepimiz Gökyüzü Olmak İstedik 2.5 - Ejderha ve Yıldız,Dex Yayınevi,N. G. Kabal,175.00,250.00,30,5.0
Bazı İnsanlar Böyle Yaşar 2,İndigo Kitap,Filiz Puluç,245.40,409.00,40,Yok
Acı Yoruldu,Alfa Yayınları,Serhan Asker,111.75,149.00,25,0.0
Bronz 2,Ren Kitap,Özge Naz,192.50,350.00,45,Yok
Bay Yanlış Numara,Artemis Yayınları,Lynn Painter,161.85,249.00,35,5.0
Yaralasar 4,Ephesus Yayınları,Maral Atmaca,239.85,369.00,35,5.0
Sessiz Hasta,Domingo Yayınevi,Alex Michaelides,177.00,295.00,40,Yok
Yaralasar 1,Ephesus Yayınları,Maral Atmaca,259.35,399.00,35,Yok
Aşk-ı Memnu Günümüz Türkçesiyle,İş Bankası Kültür Yayınları,Halit Ziya Uşaklıgil,96.00,160.00,40,Yok
Ben Kirke,İthaki Yayınları,Madeline Miller,174.00,290.00,40,Yok
Ateş Yakmak,İş Bankası Kültür Yayınları,Jack London,39.60,66.00,40,Yok
Beden Dili,Alfa Yayınları,Joe Navarro,296.25,395.00,25,Yok
Hamlet,İş Bankası Kültür Yayınları,William Shakespeare,60.00,100.00,40,Yok
Budala,İş Bankası Kültür Yayınları,Fyodor Mihayloviç Dostoyevski,204.00,340.00,40,Yok
Orhan Veli - Bütün Şiirleri,Yapı Kredi Yayınları,Orhan Veli Kanık,48.00,80.00,40,Yok
Cesur Yeni Dünya,İthaki Yayınları,Aldous Huxley,132.00,220.00,40,Yok
Kopuk Bağlar,Olimpos Yayınları,J. Bree,269.50,490.00,45,0.0
Mor Salkımlı Sokak,Parola Yayınları,Payelll,150.00,250.00,40,5.0
On Üç’ü Saklamak,Martı Yayınları,Chloe Walsh,197.50,395.00,50,5.0
Siren,İndigo Kitap,Emine Tavuz,251.40,419.00,40,5.0
Gül Kuyusu 1,Dokuz Yayınları,Binnur Şafak Nigiz,180.00,300.00,40,Yok
Gökçen İki Kitaplık Set,Ephesus Yayınları,Loresima,603.20,928.00,35,Yok
Zia Dünyayı Siliyor,Genç Timaş,Bree Barton,138.60,220.00,37,5.0
Öyle Bir Uğradım 1,Ephesus Yayınları,Maral Atmaca,259.35,399.00,35,Yok
Karanlığın Şehri,İndigo Kitap,Şule Avlamaz,251.40,419.00,40,Yok
Huzursuzluk,İnkılap Kitabevi,Zülfü Livaneli,196.00,280.00,30,5.0
Yaralasar 2,Ephesus Yayınları,Maral Atmaca,239.85,369.00,35,5.0
Sokak Nöbetçileri,İndigo Kitap,Aslı Arslan,299.40,499.00,40,Yok
Ademden Önce,İş Bankası Kültür Yayınları,Jack London,48.00,80.00,40,Yok
Ay Işığı Sokağı,İş Bankası Kültür Yayınları,Stefan Zweig,21.60,36.00,40,Yok
Sefiller 2 Cilt Takım,İş Bankası Kültür Yayınları,Victor Hugo,420.00,700.00,40,Yok
Yüzyıllık Yalnızlık,Can Yayınları,Gabriel García Márquez,294.00,490.00,40,Yok
Lavinia - Aşk Şiirleri,Yapı Kredi Yayınları,Özdemir Asaf,48.00,80.00,40,Yok
Sırça Fanus,Kırmızı Kedi Yayınevi,Sylvia Plath,150.00,250.00,40,Yok
Bir Delinin Anı Defteri,İş Bankası Kültür Yayınları,Nikolay Vasilyeviç Gogol,42.00,70.00,40,Yok
Kalbin En Karanlık Köşesi,Lapis Kitap,Lisina Coney,162.00,324.00,50,5.0
Ezilmiş Junji İto Başyapıt Seçkisi,Gerekli Şeyler Yayıncılık,Junji İto,330.00,440.00,25,5.0
Mona`nın Gözleri Şömizli,Timaş Yayınları,Thomas Schlesser,260.00,400.00,35,5.0
Sakın Yalan Söyleme,Olimpos Yayınları,Freida Mcfadden,164.45,299.00,45,Yok
