Başlık,Yayınevi,Yazar,İndirimli Fiyat (TL),İndirimsiz Fiyat (TL),İndirim Oranı (%),Puanlama (5 üzerinden)
Beyaz Diş,İş Bankası Kültür Yayınları,Jack London,49.20,82.00,40,Yok
Gümüş Yürek 1: Kayıp Dünyanın Başlangıcı,Guardian,D. N. Archeron,233.40,389.00,40,Yok
Dördüncü Kanat,Olimpos Yayınları,Rebecca Yarros,269.50,490.00,45,Yok
Yaralasar Serisi Set 4 Kitap,Ephesus Yayınları,Maral Atmaca,1.121.90,1.726.00,35,Yok
İntihar Dükkanı,Sel Yayıncılık,Jean Teule,126.00,180.00,30,Yok
Ona Kadar Say 2 - Körebe,Sia Kitap,Işıl Işık,203.00,290.00,30,5.0
Bir Gönül Davası,Pukka Yayınları,Ümran Tan,233.40,389.00,40,5.0
Hizmetçi,Olimpos Yayınları,Freida Mcfadden,176.00,320.00,45,Yok
Taş Kağıt Makas,Yabancı Yayınları,Alice Feeney,168.00,280.00,40,5.0
Ötanazi Okulu 2,Ephesus Yayınları,Maral Atmaca,259.35,399.00,35,5.0
Otomatik Portakal,İş Bankası Kültür Yayınları,Anthony Burgess,55.20,92.00,40,Yok
Bir Kibritle Yok Olmak 1,Guardian,Özge Naz,239.40,399.00,40,Yok
Kiraz Ağacı İle Aramızdaki Mesafe,Genç Timaş,Paola Peretti,122.85,195.00,37,Yok
Şeker Portakalı,Can Yayınları,Jose Mauro de Vasconcelos,177.00,295.00,40,Yok
Sineklerin Tanrısı,İş Bankası Kültür Yayınları,Sir William Gerald Golding,129.60,216.00,40,Yok
Her Kimsen - İlk Set,Artemis Yayınları,R. İDELİ,263.25,405.00,35,Yok
Gölgenin Güneşi 2 - Vatan Uğruna,Parola Yayınları,Meryem Soylu,210.00,350.00,40,5.0
Gölgenin Güneşi,Parola Yayınları,Meryem Soylu,204.00,340.00,40,Yok
Oliver Twist,İş Bankası Kültür Yayınları,Charles Dickens,26.40,44.00,40,Yok
Nietzsche Ağladığında,Ayrıntı Yayınları,Irvin D. Yalom,210.00,280.00,25,Yok
Babalar ve Oğullar,İş Bankası Kültür Yayınları,Ivan Sergeyevich Turgenev,61.20,102.00,40,Yok
İçimizdeki Şeytan,Yapı Kredi Yayınları,Sabahattin Ali,42.00,70.00,40,Yok
Evlilik Anlaşması,Ren Kitap,Suzanne Wright,165.00,300.00,45,Yok
Siyam 3 - Küllerinden,Epsilon Yayınevi,Beyza Aksoy,332.50,475.00,30,Yok
Ötanazi Okulu 3 Yan Boyamalı Ciltli Özel Baskı,Ephesus Yayınları,Maral Atmaca,311.35,479.00,35,5.0
PSİKİYATRİST,Pegasus Yayınları,Wulf Dorn,276.25,425.00,35,Yok
Pal Sokağı Çocukları Küçük Boy,Yapı Kredi Yayınları,Ferenc Molnar,57.00,95.00,40,Yok
Bitiş Çizgisi,Ren Kitap,Lyla Sage,181.50,330.00,45,5.0
Dünyanın En Önemli Öğrencisi,Taze Kitap,Şermin Yaşar,258.30,369.00,30,5.0
Av Serisi 4 - Lider,Ephesus Yayınları,M. Rise,252.85,389.00,35,5.0
Kazazede - 1,Pukka Yayınları,Şevval Demirdöğer,239.40,399.00,40,Yok
Çarpık Aşk,Martı Yayınları,Ana Huang,175.00,350.00,50,Yok
Ne Yaptığını Biliyorum,Yabancı Yayınları,Alice Feeney,168.00,280.00,40,5.0
Limon Kütüphanesi,Genç Timaş,Jo Cotterill,116.55,185.00,37,Yok
ARAYIŞLAR,İş Bankası Kültür Yayınları,Lou Andreas-Salome,44.40,74.00,40,Yok
Mucize,Pegasus Yayınları,R. J. Palacio,324.35,499.00,35,Yok
Romeo ve Juliet,İş Bankası Kültür Yayınları,William Shakespeare,50.40,84.00,40,Yok
Yanan Altı Gül,Martı Yayınları,Carissa Broadbent,95.00,190.00,50,5.0
Yüksek Uçuş,Ren Kitap,Liz Tomforde,220.00,400.00,45,5.0
Gökçen 2: Geride Kalanlar,Ephesus Yayınları,Loresima,239.85,369.00,35,5.0
On Üç’ü Bağlamak,Martı Yayınları,Chloe Walsh,197.50,395.00,50,5.0
Bazı İnsanlar Böyle Yaşar,İndigo Kitap,Filiz Puluç,245.40,409.00,40,Yok
Bir Kürt Sevdim,Müptela Yayınları,Dilek Bilgiç Esen,150.00,250.00,40,Yok
Eğer Kötü Olsaydık,Ren Kitap,M. L. Rio,214.50,390.00,45,5.0
Enkaz Altındakiler 2,İndigo Kitap,Beyza Alkoç,197.40,329.00,40,5.0
Medusa`nın Ölü Kumları - Hediyeli Özel Kutu,Ephesus Yayınları,Maral Atmaca,343.85,529.00,35,Yok
Varislerin Oyunu - Wisteria 1,İndigo Kitap,Adora Yağmur,245.40,409.00,40,Yok
İyi Bir Kızın Cinayet Rehberi,Epsilon Yayınevi,Holly Jackson,276.50,395.00,30,5.0
Küçük Kadınlar,İş Bankası Kültür Yayınları,Louisa May Alcott,76.80,128.00,40,Yok
Çizgili Dünya,Desen Yayınları,Hicabi Demirci,153.23,199.00,23,0.0
Vadideki Zambak,İş Bankası Kültür Yayınları,Honore de Balzac,66.00,110.00,40,Yok
Travis,Pukka Yayınları,Mia Sheridan,191.40,319.00,40,5.0
Emanet Aşk 2 - Silme Sendeki İzlerimi,İndigo Kitap,Sümeyye Koç,233.40,389.00,40,5.0
Yanlış Numara,Pukka Yayınları,Vi Keeland,191.40,319.00,40,5.0
Ateşpare 6,Ephesus Yayınları,Ceren Melek,252.85,389.00,35,5.0
Yılan ve Gecenin Kanatları,Martı Yayınları,Carissa Broadbent,175.00,350.00,50,5.0
Öfke Kralı,Martı Yayınları,Ana Huang,147.50,295.00,50,Yok
Gökçen 1: Unutulan Çiçekler,Ephesus Yayınları,Loresima,239.85,369.00,35,5.0
Yaralasar 3,Ephesus Yayınları,Maral Atmaca,259.35,399.00,35,Yok
Yabancı,Can Yayınları,Albert Camus,120.00,200.00,40,Yok
İnce Memed - 1,Yapı Kredi Yayınları,Yaşar Kemal,210.00,350.00,40,Yok
BÜLBÜL,Pegasus Yayınları,Kristin Hannah,389.99,599.98,35,Yok
Bize Geri Dön,Pukka Yayınları,Corinne Michaels,191.40,319.00,40,4.8
Doksan Artı Dört - 2,Pukka Yayınları,Gülben Sakar,233.40,389.00,40,5.0
Ateşpare - 6 Hediyeli Özel Kutu,Ephesus Yayınları,Ceren Melek,337.35,519.00,35,5.0
Aranızdan Biri,Epsilon Yayınevi,Holly Jackson,276.50,395.00,30,5.0
Kırdığın Yerden Kırıl,Hayykitap,Zeus Kabadayı,221.00,340.00,35,5.0
Saklı Gerçekler,Artemis Yayınları,Neva Altaj,159.25,245.00,35,Yok
Daluyku – İs Serisi 5,Dokuz Yayınları,Binnur Şafak Nigiz,192.00,320.00,40,Yok
Hyunam-Dong Kitabevi,Athica Yayınları,Hwang Bo-reum,182.00,280.00,35,Yok
Aşiyan 2 - Divane,Dokuz Yayınları,Hümeyra,180.00,300.00,40,5.0
Rahel Tanrı`yla Hesaplaşıyor,İş Bankası Kültür Yayınları,Stefan Zweig,42.00,70.00,40,Yok
Notre Dame`ın Kamburu,İş Bankası Kültür Yayınları,Victor Hugo,162.00,270.00,40,Yok
Dünya Büyülü Bir Yer,Günışığı Kitaplığı,David Almond,175.00,250.00,30,4.2
Savaş Sanatı,İş Bankası Kültür Yayınları,Sun Tzu,28.80,48.00,40,Yok
Veronika Ölmek İstiyor,Can Yayınları,Paulo Coelho,180.00,300.00,40,Yok
Harry Potter ve Azkaban Tutsağı - 3,Yapı Kredi Yayınları,J. K. Rowling,204.00,340.00,40,Yok
Puslu Kıtalar Atlası,İletişim Yayınevi,İhsan Oktay Anar,236.00,295.00,20,Yok
Salkım Sokak No: 3,Artemis Yayınları,İclal Aydın,224.25,345.00,35,5.0
Buz Krallığı,İndigo Kitap,Sena Nur Işık,233.40,389.00,40,5.0
Visal - Ahu Döngüsü,Dokuz Yayınları,Hümeyra,234.00,390.00,40,Yok
Pennies,Pukka Yayınları,Pepper Winters,191.40,319.00,40,5.0
Enkaz Altındakiler 2,İndigo Kitap,Beyza Alkoç,233.40,389.00,40,5.0
Yırtıcı,Martı Yayınları,Runyx,147.50,295.00,50,5.0
Aşiyan 3 - Yegane,Dokuz Yayınları,Hümeyra,180.00,300.00,40,5.0
Operatöre Bağlanıyorsunuz Serisi Seti 2 Kitap,Ephesus Yayınları,K. Kübra Berk,590.20,908.00,35,Yok
Aşiyan 1 - Virane,Dokuz Yayınları,Hümeyra,180.00,300.00,40,Yok
Seyir,Mona Kitap,Piraye,276.25,425.00,35,Yok
Simyacı,Can Yayınları,Paulo Coelho,177.00,295.00,40,Yok
Masal Koleksiyoncusu,Can Çocuk Yayınları,Nihan Temiz,138.00,230.00,40,0.0
Sabahattin Ali Bütün Şiirleri,Yapı Kredi Yayınları,Sabahattin Ali,36.00,60.00,40,Yok
Suç ve Ceza,İş Bankası Kültür Yayınları,Fyodor Mihayloviç Dostoyevski,117.00,195.00,40,Yok
Demir Alev,Olimpos Yayınları,Rebecca Yarros,324.50,590.00,45,5.0
Hepimiz Gökyüzü Olmak İstedik 3 - Deliler ve Cellatlar,Dex Yayınevi,N. G. Kabal,266.00,380.00,30,Yok
Ateşpare 5,Ephesus Yayınları,Ceren Melek,252.85,389.00,35,5.0
Dördüncü Kanat,Olimpos Yayınları,Rebecca Yarros,385.00,700.00,45,5.0
Varislerin Oyunu - Wisteria 1,İndigo Kitap,Adora Yağmur,203.40,339.00,40,Yok
Ötanazi Okulu 4,Ephesus Yayınları,Maral Atmaca,259.35,399.00,35,Yok
Siyam II - Kanbeyaz,Epsilon Yayınevi,Beyza Aksoy,416.50,595.00,30,5.0
Bir Delinin Hatıra Defteri,İndigo Kitap,Nikolay Vasilyeviç Gogol,42.00,70.00,40,Yok
İpek Yolu Günlüğü 1. Kitap,Altın Kitaplar,Çağdaş Yüksel,213.75,285.00,25,0.0
Denizler Altında Yirmi Bin Fersah,İş Bankası Kültür Yayınları,Jules Verne,26.40,44.00,40,Yok
Küçük Prens,Can Çocuk Yayınları,Antoine de Saint-Exupery,69.00,115.00,40,Yok
Martı Jonathan Livingston Dördüncü Bölüm İlavesiyle,Epsilon Yayınevi,Richard Bach,157.50,225.00,30,Yok
Beyaz Leke,İndigo Kitap,Aslı Arslan,263.40,439.00,40,5.0
Acıların Hükümdarı - Wisteria 2,İndigo Kitap,Adora Yağmur,209.40,349.00,40,4.9
Bronz 2,Ren Kitap,Özge Naz,214.50,390.00,45,5.0
Siyam 3 - Küllerinden,Epsilon Yayınevi,Beyza Aksoy,416.50,595.00,30,Yok
Ötanazi Okulu 4,Ephesus Yayınları,Maral Atmaca,239.85,369.00,35,5.0
Ötanazi Okulu 3,Ephesus Yayınları,Maral Atmaca,259.35,399.00,35,Yok
İFA - İnsanın Fabrika Ayarları Genişletilmiş Yeni Baskı,Tuti Kitap,Sinan Canan,410.40,570.00,28,0.0
Filmlerden Daha Güzel,Artemis Yayınları,Lynn Painter,243.75,375.00,35,5.0
