Başlık,Yayınevi,Yazar,İndirimsiz Fiyat (TL),İndirimli Fiyat (TL),İndirim Oranı (%),Puanlama (5 üzerinden)
Huzura Kavuşturan Kurallar Kitabı,Türkiye Diyanet Vakfı Yayınları,Soner Duman,200.00,160.00,Yok,0.0
Türkçede Belirlilik Kategorisi Kodlayıcıları Olarak Nesne Ekleri,Sonçağ Yayınları,Ayşe Ardıç,248.00,205.84,Yok,0.0
The Winter`s Tale: The Oxford Shakespeare,Oxford University Press - Classics,William Shakespeare,490.00,490.00,Yok,0.0
Titus Andronicus,Oxford University Press - Classics,William Shakespeare,490.00,490.00,Yok,0.0
Veysel Çavuş,Elips Kitap,Memduh Şevket Esendal,320.00,217.60,Yok,0.0
Sessiz Çığlık,Kırmızı Çatı Yayınları,Ayfer Şenel Çavuş,315.00,245.70,Yok,0.0
Redgauntlet,Oxford University Press - Classics,Walter Scott,490.00,490.00,Yok,0.0
Ivanhoe,Oxford University Press - Classics,Walter Scott,490.00,490.00,Yok,0.0
Yer Gök Lila,Kırmızı Çatı Yayınları,Mümin M. Kul,265.00,206.70,Yok,0.0
Narçiçeğim - 1,Oleksa Yayınevi,H.C,315.00,229.95,Yok,0.0
Classical Literary Criticism,Oxford University Press - Classics,Kolektif,490.00,490.00,Yok,0.0
Gölge,Oleksa Yayınevi,Süveyda Ak,350.00,255.50,Yok,0.0
Keske Dawi Di Cenazeya Xwede De,Peri Yayınları,Hoşeng Broka,120.00,87.60,Yok,0.0
Ernesto Che Guevara - Biraninen Şer,Peri Yayınları,Kolektif,150.00,109.50,Yok,0.0
Sam Zal ve Oğlu Rüstem,Peri Yayınları,Norma Lorre Goodrich,100.00,73.00,Yok,0.0
Aşkın Kısa Tarihi,Peri Yayınları,Ali Biçer,70.00,51.10,Yok,0.0
Ben Vincent ve Korkmuyorum,Genç Timaş,Enne Koens,195.00,122.85,Yok,0.0
Pamela Or Virtue Rewarded,Oxford University Press - Classics,Samuel Richardson,490.00,490.00,Yok,0.0
Bir Akademisyenin Ardından - Güney Ferhat Batı Anısına,Dorlion Yayınları,Kollektif,535.00,321.00,Yok,0.0
Swann In Love,Oxford University Press - Classics,Marcel Proust,490.00,490.00,Yok,0.0
Love in Scutari,Amore Yayınevi,Tayfun Atmaca,343.00,343.00,Yok,0.0
Kerberos,Edebiyatist,Bayram Sarı,280.00,204.40,Yok,0.0
Sert Yokuş,Edebiyatist,Asiye Caner Kendir,250.00,182.50,Yok,0.0
Bir Şair Bir Şiir 2,Kiba Yayımcılık,Zehra Şahin,300.00,204.00,Yok,0.0
Edebiyat Kırıntıları,Kiba Yayımcılık,Sinem Şahin,300.00,204.00,Yok,0.0
Şipşak,Kiba Yayımcılık,Beyza Bakırcı,350.00,238.00,Yok,0.0
Tülpansızlık Yarası,Kiba Yayımcılık,Hatice Kutlu,300.00,204.00,Yok,0.0
Gönlümdeki Mısra,Kiba Yayımcılık,Hatice Kutlu,200.00,136.00,Yok,0.0
Gül Bakalım,Kiba Yayımcılık,Caner Doğruyol,300.00,204.00,Yok,0.0
Aral Gibi,Kiba Yayımcılık,Ayten Taş,300.00,204.00,Yok,0.0
Olmayacak Duaya Amin,Kiba Yayımcılık,Gül Leyl,400.00,272.00,Yok,0.0
Gölgeler,Kiba Yayımcılık,Arzu Cengiz,300.00,204.00,Yok,0.0
Mutluluk İhtimali,Livera Yayınevi,Anne Rabe,385.00,319.55,Yok,0.0
John Cage - Seçme Yazılar,Pan Yayıncılık,John Cage,800.00,584.00,Yok,0.0
Tuzlu Uzaklık,Salon Yayınları,Mehmet Baltacan,189.00,122.85,Yok,0.0
Kerim Aba ve Gelini,Cinius Yayınları,Emine Sarı Aksoyer,350.00,227.50,Yok,0.0
Haluk Şahin’in Bozcaada Kitabı,Arkeoloji ve Sanat Yayınları,Haluk Şahin,585.00,485.55,Yok,0.0
Beş Numaralı Kural,Artemis Yayınları,J. Wilder,325.00,211.25,Yok,0.0
Parçalar Halinde Hayatım,Ayrıntı Yayınları,Zygmunt Bauman,270.00,202.50,Yok,0.0
Kayıp Nesil,Cinius Yayınları,Sündüs Şahin,270.00,175.50,Yok,0.0
Yazıyla Fotoğraf Çekmek,Favori Yayınları,Recai Şeyhoğlu,150.00,117.00,Yok,0.0
Baki Karanlık,Ayrıntı Yayınları,William McIlvanney,270.00,202.50,Yok,0.0
Kütüphaneler Zinciri İle Aydınlanma Evlerine Toplu Bakış,Favori Yayınları,Recai Şeyhoğlu,200.00,156.00,Yok,0.0
Ne Hissediyorum,Favori Yayınları,İlatun,150.00,117.00,Yok,0.0
Değerlere Saygı,Favori Yayınları,Recai Şeyhoğlu,150.00,117.00,Yok,0.0
H.Ö.T - Hayat Öfke Tuzak,Servet Yayınevi,İsmail Sevim,500.00,390.00,Yok,0.0
Güneşsiz: 1 - Cehennem Diskosu,Doğan Kitap,Jean-Christophe Grange,375.00,262.50,Yok,0.0
Görünmez Otel,Timaş Yayınları,Yeji Y. Ham,350.00,227.50,Yok,0.0
Bir Aşkın On Günü,Doğan Kitap,İrem Uzunhasanoğlu,350.00,245.00,Yok,0.0
Clara`ya Mektuplar,Doğan Kitap,Juan Rulfo,350.00,245.00,Yok,0.0
The Vampyre and Other Tales Of The Macabre,Oxford University Press - Classics,John Polidori,490.00,490.00,Yok,0.0
Selected Tales,Oxford University Press - Classics,Edgar Allan Poe,490.00,490.00,Yok,0.0
The Narrative Of Arthur Gordon Pym Of Nantucket and Related Tales,Oxford University Press - Classics,Edgar Allan Poe,490.00,490.00,Yok,0.0
Üniversiteli Köylü,Vova Yayınları,Hayati Telci,450.00,351.00,Yok,0.0
San Francisco Tokyo Hattı,Vova Yayınları,Yaşar Ali Meşe,110.00,85.80,Yok,0.0
The Oregon Trail,Oxford University Press - Classics,Francis Parkman Jr.,490.00,490.00,Yok,0.0
Tahtakurusu,Felix Kitap,Vladimir Mayakovski,220.00,193.60,Yok,0.0
Metamorphoses,Oxford University Press - Classics,Ovid,490.00,490.00,Yok,0.0
Şafağın Kızı Yona Cilt 4,Komikşeyler Yayıncılık,Mizuho Kusanagi,170.00,119.00,Yok,0.0
Nisa,40 Kitap,Aysel Soylu,350.00,238.00,Yok,0.0
Gangsta Cilt 8,Komikşeyler Yayıncılık,Kohske,180.00,126.00,Yok,0.0
Takunyalı Rahvan Atlar,Lil Yayınları,Muraz Arslan,200.00,200.00,Yok,0.0
Solo Leveling Novel Cilt 5,Komikşeyler Yayıncılık,Chugong,250.00,175.00,Yok,0.0
Endülüs Ajandasından Türkiye Yüzyılı,Çıra Yayınları,Mustafa Kurt,420.00,294.00,Yok,0.0
Gangsta Cilt 7,Komikşeyler Yayıncılık,Kohske,180.00,126.00,Yok,0.0
Solo Leveling Novel Cilt 6,Komikşeyler Yayıncılık,Chugong,250.00,175.00,Yok,0.0
Enikonu Araf,Siyah Beyaz Yayınları,Burak Korkmaz,180.00,117.00,Yok,0.0
Sana Bir Cümlem Var,Çıra Yayınları,Hatice Döne Gül,275.00,192.50,Yok,0.0
Hayallerim Gerçeklerimden Büyüktü,Siyah Beyaz Yayınları,Celal Karaarslan,200.00,130.00,Yok,0.0
Yeni Dünya İncili,Bilgi Yayınevi,Maryse Conde,320.00,233.60,Yok,0.0
Benden Kalan İzler,Siyah Beyaz Yayınları,Güler Kahraman,240.00,156.00,Yok,0.0
Japonca ve Altay Dilleri,BilgeSu Yayıncılık,Talat Tekin,175.00,127.75,Yok,0.0
İçindeki Sessizlik,Çatı Kitapları,Uygar Uluçay,250.00,220.00,Yok,0.0
Dolunay,Klaros Yayınları,Gülizar Yıldız,400.00,272.00,Yok,0.0
Bodoslama,Armoni Yayıncılık,Kolektif,250.00,170.00,Yok,0.0
Sürgündeki Dante,Klaros Yayınları,Halit Payza,300.00,204.00,Yok,0.0
Benim Suçum Ne,Klaros Yayınları,Gülizar Yıldız,350.00,238.00,Yok,0.0
Bir Yara Gibi Yazmak,Klaros Yayınları,Hüseyin Satoğlu,250.00,170.00,Yok,0.0
Hayatımı Kendim Boyadım,Ceres Yayınları,R. Şükrü Ergün,260.00,182.00,Yok,0.0
Akıllı Kuşlar,Klaros Yayınları,Etem Oruç,180.00,122.40,Yok,0.0
Baharlar Ne Söyler Sana,Klaros Yayınları,Duran Aydın,350.00,238.00,Yok,0.0
Şahmerdan,Elips Kitap,Sait Faik Abasıyanık,220.00,149.60,Yok,0.0
Aşktan Ağzı Yanan,Artemis Yayınları,Chloe Liese,475.00,308.75,Yok,0.0
Havada Bulut,Elips Kitap,Sait Faik Abasıyanık,220.00,149.60,Yok,0.0
Aşktan Ağzı Yanan,Artemis Yayınları,Chloe Liese,375.00,243.75,Yok,0.0
Zatıali,Dionysos Yayın Group,İbrahim Deniz,425.00,289.00,Yok,0.0
Zühre,Alaska Yayınevi,Zeynep Batımor,200.00,176.00,Yok,0.0
Futbolun Devleri Ronaldo & Messi,Dionysos Yayın Group,Fatih Türkmen,455.00,309.40,Yok,0.0
Okumayı Yeniden Düşünmek,Çizgi Kitabevi Yayınları,Şahbender Çoraklı,180.00,149.40,Yok,0.0
Sırlı Hamleler,Turay Kitap Yayıncılık,Latife Oruç,400.00,312.00,Yok,0.0
İbrahimce Şiirler,İYE Kitap,İbrahim Abdülhalik Canbaz,250.00,250.00,Yok,0.0
Zafer Benim,Dionysos Yayın Group,Ömer Keskin,475.00,323.00,Yok,0.0
Peşk,Sidar Yayınları,Zeynep Işık,250.00,170.00,Yok,0.0
Rumkale’de Bir Ermeni,Sidar Yayınları,Atalay Çimen,250.00,170.00,Yok,0.0
Benim Çok Ülke Adım,Palet Yayınları,Melih Erzen,300.00,195.00,Yok,0.0
Fenomenin Rüyası,Dionysos Yayın Group,Ayşegül Sayed,775.00,527.00,Yok,0.0
Fırat’ın Sırrı,Sidar Yayınları,Atalay Çimendağ,250.00,170.00,Yok,0.0
Mezopotamya Şairler Antolojisi-1,Sidar Yayınları,Halil Doğan,250.00,170.00,Yok,0.0
The Scarlet Pimpernel,Oxford University Press - Classics,Baroness Emma Orczy,490.00,490.00,Yok,0.0
Victorian Fairy Tales,Oxford University Press - Classics,Kolektif,490.00,490.00,Yok,0.0
Biraz Konuşmasak,Lando Yayınları,Kaan Koç,180.00,122.40,Yok,0.0
The Confusions Of Young Törless,Oxford University Press - Classics,Robert Musil,490.00,490.00,Yok,0.0
The Origins Of Science Fiction,Oxford University Press - Classics,Michael Newton,490.00,490.00,Yok,0.0
News From Nowhere,Oxford University Press - Classics,William Morris,490.00,490.00,Yok,0.0
Aynadaki Katil,Fısıldayan Kalemler Yayınevi,Elif Ünal Yıldız,160.00,140.80,Yok,0.0
Esther Waters,Oxford University Press - Classics,George Moore,490.00,490.00,Yok,0.0
Three Early Modern Utopias,Oxford University Press - Classics,Thomas More,490.00,490.00,Yok,0.0
Kimliksiz Kervanlar,Kara Caretta,İlyas Akbal,200.00,200.00,Yok,0.0
Synoverse – İnovasyonun Ötesinde,TG World Bilişim Akademisi,Bilhan Karabulut,299.00,227.24,Yok,0.0
Çeviri Göstergebilimi Bağlamında Necîb Mahfûz’un “Leyâlî Elf Leyle” Adlı Romanının Çözümlenmesi,Gece Kitaplığı,Ebrar Ayyıldız,469.00,281.40,Yok,0.0
Lalelerin ve Ressamların Ülkesi Hollanda` da Bir Çevelan,Ekin Basım Yayın,Ekrem Hayri Peker,460.00,427.80,Yok,0.0
Ekonomik Regülasyonların Sosyo-Ekonomik Etkileri,Serüven Yayınevi,Almina Derya Bıçaksız,273.00,163.80,Yok,0.0
Hafızamın Sekizinci Katı-İF,Yazardan Direkt Yayınevi,Serkan Elmas,400.00,272.00,Yok,0.0
Örgütsel Kültür İle Yenilikçilik Odaklı Örgütsel Faktörler Arasındaki İlişki,Serüven Yayınevi,Abidin Ozan Onağ,154.00,92.40,Yok,0.0
Behold the Human,Amore Yayınevi,Baler Anıl,196.00,196.00,Yok,0.0
The Eroticism Of Love,Amore Yayınevi,Abdullah Yılmaz,147.00,147.00,Yok,0.0
The Founders,Amore Yayınevi,Şafak Akgün,140.00,140.00,Yok,0.0
Effi Briest,Oxford University Press - Classics,Theodor Fontane,490.00,490.00,Yok,0.0
Paradise Lost,Oxford University Press - Classics,John Milton,490.00,490.00,Yok,0.0
Sessiz Çığlık I,Gece Kitaplığı,Necla Yazgı,217.00,130.20,Yok,0.0
"Çocuktum, Düştüm ve Ben Hep Çocuktum",Gece Kitaplığı,Yazgül Satı,238.00,142.80,Yok,0.0
Moby-Dick,Oxford University Press - Classics,Herman Melville,490.00,490.00,Yok,0.0
Doctor Faustus and Other Plays,Oxford University Press - Classics,Christopher Marlowe,490.00,490.00,Yok,0.0
"Billy Budd, Sailor and Selected Tales",Oxford University Press - Classics,Herman Melville,490.00,490.00,Yok,0.0
Late Victorian Gothic Tales,Oxford University Press - Classics,Roger Luckhurst,490.00,490.00,Yok,0.0
Amazing Spiderman - Almanak 1965,Marmara Çizgi,Stan Lee,400.00,256.00,Yok,0.0
The Man Of Feeling,Oxford University Press - Classics,Henry Mackenzie,490.00,490.00,Yok,0.0
The Man Of Feeling,Oxford University Press - Classics,Henry Mackenzie,490.00,490.00,Yok,0.0
The Monk,Oxford University Press - Classics,Matthew Lewis,490.00,490.00,Yok,0.0
Csutora,Can Yayınları,Sandor Marai,240.00,144.00,Yok,0.0
John Barleycorn,Oxford University Press - Classics,Jack London,490.00,490.00,Yok,0.0
The Phantom Of The Opera,Oxford University Press - Classics,Gaston Leroux,490.00,490.00,Yok,0.0
Dünyayı Kuşatan Dil: Türkçe,Tedev Yayınları,Tayfun Haykır,200.00,156.00,Yok,0.0
Ateşin Koynunda,Pukka Yayınları,Sıla Koçak,399.00,199.50,Yok,0.0
A Hero Of Our Time,Oxford University Press - Classics,Mikhail Lermontov,490.00,490.00,Yok,0.0
Virane Düşler,Pukka Yayınları,Ümran Tan,399.00,199.50,Yok,0.0
Women In Love,Oxford University Press - Classics,D. H. Lawrence,490.00,490.00,Yok,0.0
The Rainbow,Oxford University Press - Classics,D. H. Lawrence,490.00,490.00,Yok,0.0
Tılsım ve Sis 1: Cadı Avı – Hediyeli Kutu,Guardian,Seda Lena,519.00,311.40,Yok,0.0
Yazgan,Lando Yayınları,Doğa Türkkan,180.00,122.40,Yok,0.0
Heyula Hayali,Lando Yayınları,Seher Özkök,175.00,119.00,Yok,0.0
Tılsım ve Sis 1: Cadı Avı,Guardian,Seda Lena,389.00,233.40,Yok,0.0
Sukutuhayal Sokak,İleri Yayınları,Kan Demirkol,150.00,102.00,Yok,0.0
Kayıp Aranıyor,Elips Kitap,Sait Faik Abasıyanık,220.00,149.60,Yok,0.0
Hanımefendi Kızıldır,Lando Yayınları,Gülce Başer,175.00,119.00,Yok,0.0
Just So Stories For Little Children,Oxford University Press - Classics,Joseph Rudyard Kipling,490.00,490.00,Yok,0.0
Les Liaisons Dangereuses,Oxford University Press - Classics,Pierre Choderlos de Laclos,490.00,490.00,Yok,0.0
Aurora Kralı’nın Hükümdarlığı,Juno Kitap,Nisha J. Tuli,348.00,191.40,Yok,0.0
Doğruluk Mu Sakal Mı?,Juno Kitap,Penny Reid,348.00,191.40,Yok,0.0
The Castle,Oxford University Press - Classics,Franz Kafka,490.00,490.00,Yok,0.0
Düş Hırsızları,Juno Kitap,Maggie Stiefvater,348.00,191.40,Yok,0.0
Selected Poetry,Oxford University Press - Classics,John Keats,490.00,490.00,Yok,0.0
Sessiz Miras,Arkadya Yayınları,Melanie Dobson,240.00,168.00,Yok,0.0
The Trial,Oxford University Press - Classics,Franz Kafka,490.00,490.00,Yok,0.0
Eirik The Red and Other Icelandic Sagas,Oxford University Press - Classics,Kolektif,490.00,490.00,Yok,0.0
"The History Of Rasselas, Prince Of Abissinia",Oxford University Press - Classics,Samuel Johnson,490.00,490.00,Yok,0.0
Beni Bekleyen Bir Dağ Biliyorum,Dedalus Kitap,Sholeh Rezazadeh,200.00,146.00,Yok,0.0
Collected Ghost Stories,Oxford University Press - Classics,M. R. James,490.00,490.00,Yok,0.0
Babam ve Ben,Beyan Yayınları,Osman Hazır,180.00,117.00,Yok,0.0
Horror Stories,Oxford University Press - Classics,Kolektif,490.00,490.00,Yok,0.0
Fantastik Dörtlü Galactus`un Gelişi,Arka Bahçe Yayıncılık,Stan Lee,220.00,149.60,Yok,0.0
Fantastik Dörtlü Doktor Doom İle Tanışın,Arka Bahçe Yayıncılık,Stan Lee,96.00,65.28,Yok,0.0
The Iliad,Oxford University Press - Classics,Homer,490.00,490.00,Yok,0.0
"Josee, Kaplan ve Balık - 1",Kayıp Kıta Yayınları,Seiko Tanabe,220.00,160.60,Yok,0.0
Raffles: The Amateur Cracksman,Oxford University Press - Classics,E. W. Hornung,490.00,490.00,Yok,0.0
Bir Anadolu Hikayesi Gelinliksiz Gelinler,Kanguru Yayınları,Ümran Erol,280.00,190.40,Yok,0.0
Uykulara Ara Verdim,Dilkitap Yayınları,Dursun Erdoğan,200.00,136.00,Yok,0.0
Dağ Resmi,Pikaresk Yayınevi,Serap Aslı Araklı,220.00,149.60,Yok,0.0
Dünyaya Ayna Tutmak,Raf Kitap,Ertuğrul Aydın,200.00,136.00,Yok,0.0
Derik Delileri,Raf Kitap,Vejdin Çiçek,220.00,149.60,Yok,0.0
Renksiz Aşklar Coğrafyası,Pikaresk Yayınevi,Burak Tokcan,200.00,136.00,Yok,0.0
Renklerin Ayini,Aryen Yayınları,Gulecan,160.00,108.80,Yok,0.0
Şikefta Çirokan,Aryen Yayınları,Leyla Atabay,260.00,176.80,Yok,0.0
Kula Faykeye Spi,Aryen Yayınları,Yaşar Eroglu,160.00,108.80,Yok,0.0
Daye Koban,Aryen Yayınları,Xece Redur,160.00,108.80,Yok,0.0
Enwer Newaya Hevretiye,Aryen Yayınları,Huseyin Guçlu,260.00,176.80,Yok,0.0
Kırlangıçlar Geldiğinde,Aryen Yayınları,Hüseyin Sürgeç,260.00,176.80,Yok,0.0
Kubilay Odabaş Karikatürler 3,Komikşeyler Yayıncılık,Kubilay Odabaş,120.00,84.00,Yok,0.0
Kişisel Gelişmeyişim,Komikşeyler Yayıncılık,Mert Dolapçıoğlu,180.00,126.00,Yok,0.0
Paradise Kiss Cilt 2 - Cennet Öpücüğü,Komikşeyler Yayıncılık,Ai Yazawa,480.00,336.00,Yok,0.0
Kırmızı Mum ve Deniz Kızı,Komikşeyler Yayıncılık,Ogawa Mimei,125.00,87.50,Yok,0.0
Uyu Ay Ormanı Tanrısı,Komikşeyler Yayıncılık,Nahoko Uehashi,180.00,126.00,Yok,0.0
Şimdiyi Özlemek,Mavi Nefes Yayınları,Gülbikar Alkan Kırılmaz,200.00,136.00,Yok,0.0
Düş ve Kanat,Dorlion Yayınları,Süheyla Yıldız,126.00,75.60,Yok,0.0
Halime ve Sevdayı Masumane,Dorlion Yayınları,Mehmet Vecihi,126.00,75.60,Yok,0.0
Mevlana Celaleddin-i Rumi,Dorlion Yayınları,F. Hadland Davis,126.00,75.60,Yok,0.0
Mezopotamya,Dorlion Yayınları,Süheyla Yıldız,126.00,75.60,Yok,0.0
Doğu ve Batı Edebiyatında Polisiye,Kriter Yayınları,Elvan Mutlu,300.00,249.00,Yok,0.0
Çoban Yıldızı,Dorlion Yayınları,Mahmut Yesari,348.00,208.80,Yok,0.0
Tanrı’nın Eli,Luna Yayınları,Yurdanur Kaya,254.00,198.12,Yok,0.0
Anita,Dorlion Yayınları,Aziz Serhat Baykara,126.00,75.60,Yok,0.0
Büyük Petro,Dorlion Yayınları,Aleksi Nikolayeviç Tolstoy,516.00,309.60,Yok,0.0
Bir Dalda İki Elma,Dorlion Yayınları,Ali Balkız,156.00,93.60,Yok,0.0
Babil Kitaplığı’ndan En Güzel Öyküler,Dorlion Yayınları,William Beckford,266.00,159.60,Yok,0.0
Bir Varmış Bir Çokmuş,Dorlion Yayınları,Serdar Rodoplu,260.00,156.00,Yok,0.0
Sessiz Sofra,Patara Kitap,Muhittin Çiftçi,288.00,253.44,Yok,0.0
Bedel,İkinci Adam Yayınları,Başak Derya Çetin,150.00,97.50,Yok,0.0
Alamut`un Efendisi- Hasan Sabbah,Panama Yayıncılık,Pol Amir,390.00,234.00,Yok,0.0
Joseph Goebbels`in Hatıraları,Panama Yayıncılık,Joseph Goebbels,180.00,108.00,Yok,0.0
Hatırla,Tilki Kitap,Bahar İşlek,390.00,253.50,Yok,0.0
Manas’ın Oğlu Cengiz Aytmatov,Manas Yayıncılık,Mehmet Yılmaz,280.00,280.00,Yok,0.0
Celal Bayar’ın Son Doktoru Anlatıyor,Manas Yayıncılık,Koptagel İlgün,250.00,250.00,Yok,0.0
Hayatın İçinden,Nitelik Kitap,Yetkin Asil,160.00,124.80,Yok,0.0
The Odyssey,Oxford University Press - Classics,Homer,490.00,490.00,Yok,0.0
Sir Gawain and The Green Knight,Oxford University Press - Classics,Kolektif,490.00,490.00,Yok,0.0
Theogony and Works and Days,Oxford University Press - Classics,Hesiod,490.00,490.00,Yok,0.0
Kalbinin Sesini Dinle,Ekin Yayınları,Şefik Sevim,200.00,156.00,Yok,0.0
The Return Of The Native,Oxford University Press - Classics,Thomas Hardy,490.00,490.00,Yok,0.0
Plays and Petersburg Tales,Oxford Yayınları,Nikolay Gogol,490.00,406.70,Yok,0.0
Ayşe Öğretmen,Alaska Yayınevi,Kazım Kaya,300.00,264.00,Yok,0.0
Wives and Daughters,Oxford University Press - Classics,Elizabeth Gaskell,490.00,490.00,Yok,0.0
Sağır Şezlong,Yaka Yayınları,Sıla Özçelik Yener,200.00,156.00,Yok,0.0
Göksu,Tulu Kitap,A. Erkan Akay,200.00,156.00,Yok,0.0
Faust,Oxford University Press - Classics,Johann Wolfgang Von Goethe,490.00,490.00,Yok,0.0
The Song Of Roland and Other Poems Of Charlemagne,Oxford University Press - Classics,Kolektif,490.00,490.00,Yok,0.0
Fantastik 4 İlk Adımlar,Felix Koleksiyon,Mat Fraction,140.00,140.00,Yok,0.0
Babalar ve Oğullar,Elips Kitap,İvan Sergeyeviç Turgenyev,340.00,231.20,Yok,0.0
Mağdurun Tenha Türküsü,İdeal Kültür Akademi,Özlem Fedai,350.00,350.00,Yok,0.0
Yıldızlar ve Gözyaşı,Oleksa Yayınevi,Melisa Erdoğan,110.00,80.30,Yok,0.0
6 Saat 22 Dakika Tarihî Hikâyeler,Hasbahçe,Ahmet Yalçın,110.00,74.80,Yok,0.0
Mir 2,Guardian,Hümeyra,389.00,233.40,Yok,0.0
Yaşama Sevinci Tuşlarla Buluşunca Gülsin Onay,Sevda-Cenap And Müzik Vakfı Yayınları,Serhan Yedig,350.00,308.00,Yok,0.0
Kahır ve Ayin,Ebabil Yayınları,Bahtiyar Aslan,110.00,85.80,Yok,0.0
Autobiography and Other Writings,Oxford University Press - Classics,Benjamin Franklin,490.00,490.00,Yok,0.0
Nâzım Hikmet Şiirinde Özne Sorunsalı,Ebabil Yayınları,Alptuğ Topaktaş,300.00,234.00,Yok,0.0
Zamanın Kayıp İzleri,Orionebula Yayınevi,Cansu Yurttaş,330.00,240.90,Yok,0.0
Değişim Zamanı,Yabancı Yayınları,Sharon M. Peterson,300.00,180.00,Yok,0.0
Kalpte Saklı Kelimeler,Yabancı Yayınları,Mia Sheridan,280.00,168.00,Yok,0.0
Lüzumsuz Adam,İthaki Yayınları,Sait Faik Abasıyanık,90.00,54.00,Yok,0.0
Hayatı Sevme Hastalığı,İthaki Yayınları,Sibel K. Türker,220.00,132.00,Yok,0.0
Komşu Kızı,İthaki Yayınları,Jack Ketchum,280.00,168.00,Yok,0.0
Biçicinin Kasırgası - Malazan Yitikler Kitabı 7,İthaki Yayınları,Steven Erikson,850.00,510.00,Yok,0.0
Biçicinin Kasırgası - Malazan Yitikler Kitabı 7,İthaki Yayınları,Steven Erikson,1.250.00,750.00,Yok,0.0
Sırt 1 : Gerçek,Orionebula Yayınevi,Ezgi Çolak,300.00,219.00,Yok,0.0
Araf Yansıma,Tilge Yayınevi,Selin Çetin,270.00,197.10,Yok,0.0
Nefret Çağı,Tilge Yayınevi,Hamza Canbek,450.00,328.50,Yok,0.0
Tanrıların Projesi,Orionebula Yayınevi,Berre Ayvaz,350.00,255.50,Yok,0.0
Yaşama Uzak Denize Sıfır,Tilge Yayınevi,Cansu Zorbek,300.00,219.00,Yok,0.0
Badem Çiçekleri,Tilge Yayınevi,Eylül Göktaş,270.00,197.10,Yok,0.0
Aynaistanya,Ayperi Yayınları,Halil Ünveren,200.00,126.00,Yok,0.0
Mariposa,Tilge Yayınevi,Songül Aykutluğ,330.00,240.90,Yok,0.0
Yağmurları Çağırma,Şey Kitap,Atila Er,240.00,163.20,Yok,0.0
Hayatın Şiiri,Gece Kitaplığı,Fatih Köse,203.00,121.80,Yok,0.0
Ruhun Dizeleri,Kiba Yayımcılık,Talha Reçber,350.00,238.00,Yok,0.0
Söyleyemediklerimin Küllüğü,Sokak Kitapları Yayınları,Resmi Arık,120.00,75.60,Yok,0.0
Patron Çıldırdı,Kiba Yayımcılık,Zeynep İlayda Küçük,350.00,238.00,Yok,0.0
Yaşama Düşen Öyküler,Şey Kitap,Selma Sağlamtaş,150.00,102.00,Yok,0.0
Son Parmak,Sokak Kitapları Yayınları,Azra Nur Özkutlu,150.00,94.50,Yok,0.0
Nar Çiçeği,Gece Kitaplığı,Tamer Okuç,164.00,98.40,Yok,0.0
Serbest Vezin,Gece Kitaplığı,Ragıp Topaloğlu,150.00,90.00,Yok,0.0
Acının Zamanı,Şey Kitap,Mesut Kimsesiz,180.00,122.40,Yok,0.0
Topuz- Kaçakçılar,Gece Kitaplığı,Vehip Sinan,210.00,126.00,Yok,0.0
Topuz – Huysuz Uzaylı,Gece Kitaplığı,Vehip Sinan,231.00,138.60,Yok,0.0
Topuz – Uzaylı Yaratıklar,Gece Kitaplığı,Vehip Sinan,231.00,138.60,Yok,0.0
Tek Başına,Şey Kitap,Mesut Kimsesiz,150.00,102.00,Yok,0.0
Topuz - Fedai,Gece Kitaplığı,Vehip Sinan,252.00,151.20,Yok,0.0
Gümüş Kolye,Sokak Kitapları Yayınları,Olgun olgun,150.00,94.50,Yok,0.0
Hêvî,Sokak Kitapları Yayınları,İkram Akboğa,245.00,154.35,Yok,0.0
Vahşi Batıda Kahraman Türk Kovboyları,Deniz Yayınevi,Hikmet Kızıltan,335.00,227.80,Yok,0.0
Nalbant,Sokak Kitapları Yayınları,Hıdır Çakmak,200.00,126.00,Yok,0.0
Ya Kendini Bulacaksın Ya Kendinden Bulacaksın - 1,Sokak Kitapları Yayınları,Metin Başar,140.00,88.20,Yok,0.0
Kızıl Çamlar,Liman Yayınevi,İsmet Çallıbay,120.00,81.60,Yok,0.0
Yeni Dünya Düzeni,Sokak Kitapları Yayınları,Emre Mercan,120.00,75.60,Yok,0.0
Three Tales,Oxford University Press - Classics,Gustave Flaubert,490.00,490.00,Yok,0.0
20’li Yaş,Sokak Kitapları Yayınları,Emre Mercan,120.00,75.60,Yok,0.0
Suriçi’nde Sürçenler,Liman Yayınevi,Osman Akyol,190.00,129.20,Yok,0.0
The Lost World,Grafiti Yayınları,Sir Arthur Conan Doyle,230.00,179.40,Yok,0.0
Sonra Sessizlik Konuştu,Fısıldayan Kalemler Yayınevi,Tuğçe Biryol,250.00,220.00,Yok,0.0
Hayalet Bisiklet,Fısıldayan Kalemler Yayınevi,Murat Engin Deniz,190.00,167.20,Yok,0.0
Yörünge,Sokak Kitapları Yayınları,Başak Kırcelli,400.00,252.00,Yok,0.0
Caterra`nın Mührü,Sokak Kitapları Yayınları,Duygu Yüksel,245.00,154.35,Yok,0.0
Ben Sustum O Konuştu,Fısıldayan Kalemler Yayınevi,Mehmet Nurullah Karadaş,150.00,132.00,Yok,0.0
