Başlık,Yayınevi,Yazar,İndirimsiz Fiyat (TL),İndirimli Fiyat (TL),İndirim Oranı (%),Puanlama (5 üzerinden)
Yaşantımın Mucizeleri,Deniz Yayınevi,Muzaffer Eliaçık,356.00,242.08,Yok,0.0
Aşk Acının Üzerine Helva,Parlayan Kitap,Hasan Seyfettin Teoman,350.00,238.00,Yok,0.0
La Bete humaine,Oxford University Press - Classics,Emile Zola,490.00,490.00,Yok,0.0
Kaybolmuş Ruhlar Sarayı Özel Set 2 Kitap,İndigo Kitap,Dilara Keskin,889.00,533.40,Yok,0.0
Gecekondu Müslümanlık,Gülnar Yayınları,Akif Mengeş,260.00,189.80,Yok,0.0
Pot Luck Pot-Bouille,Oxford University Press - Classics,Emile Zola,490.00,490.00,Yok,0.0
His Excellency Eugene Rougon,Oxford University Press - Classics,Emile Zola,490.00,490.00,Yok,0.0
The Sin Of Abbe Mouret,Oxford University Press - Classics,Emile Zola,490.00,490.00,Yok,0.0
Kaybolmuş Ruhlar Sarayı - Kraliçenin Kızı,İndigo Kitap,Dilara Keskin,399.00,239.40,Yok,0.0
Kaybolmuş Ruhlar Sarayı - Kraliçenin Kızı,İndigo Kitap,Dilara Keskin,339.00,203.40,Yok,0.0
Kaybolmuş Ruhlar Sarayı - Senteria`nın Varisi,İndigo Kitap,Dilara Keskin,399.00,239.40,Yok,0.0
Kaybolmuş Ruhlar Sarayı - Senteria`nın Varisi,İndigo Kitap,Dilara Keskin,339.00,203.40,Yok,0.0
Aşure,Deniz Yayınevi,Sevtap Polat,340.00,231.20,Yok,0.0
Üyge Taba Eve Doğru,Ötüken Neşriyat,Ayaz İshaki,190.00,123.50,Yok,0.0
Günahkar,Pukka Yayınları,Sierra Simone,319.00,159.50,Yok,0.0
Thousands,Pukka Yayınları,Pepper Winters,319.00,159.50,Yok,0.0
Merhaba Güzellik,Mundi,Ann Napolitano,490.00,294.00,Yok,0.0
Hücre,Can Yayınları,Jose Revueltas,125.00,75.00,Yok,0.0
